Category,Initial_Nylon,Initial_Nylon_return,Targeted_Nylon,Targeted_Nylon_return,Incentive_Nylon,Incentive_Nylon_return,Normal_Nylon,Normal_Nylon_return,Initial_PES,Initial_PES_return,Targeted_PES,Targeted_PES_return,Incentive_PES,Incentive_PES_return,Normal_PES,Normal_PES_return,Initial_EL_Polyurethane,Initial_EL_return,Targeted_EL_Polyurethane,Targeted_EL_return,Incentive_EL_Polyurethane,Incentive_EL_return,Normal_EL_Polyurethane,Normal_EL_return,Initial_CV_Viscos,Initial_CV_return,Targeted_CV_Viscos,Targeted_CV_return,Incentive_CV_Viscos,Incentive_CV_return,Normal_CV_Viscos,Normal_CV_return,Initial_CO_Cotton,Initial_CO_return,Targeted_CO_Cotton,Targeted_CO_return,Incentive_CO_Cotton,Incentive_CO_return,Normal_CO_Cotton,Normal_CO_return,Initial_LI_Flax,Initial_LI_return,Targeted_LI_Flax,Targeted_LI_return,Incentive_LI_Flax,Incentive_LI_return,Normal_LI_Flax,Normal_LI_return,Initial_MTF,Initial_MTF_return,Targted_MTF,Targted_MTF_return,Incentive_MTF,Incentive_MTF_return,Normal_MTF,Normal_MTF_return,Unit
"Climate change, incl biogenic carbon",9597.959,7085.04,9445.184,7015.472,9031.978,6731.09,9521.986,7036.941,145511.865,100479.46,143971.903,99796.718,131419.325,91333.636,143879.501,99802.035,4045.629,2627.276,3998.818,2608.515,3691.553,2423.723,3995.788,2608.927,999.944,539.769,986.253,534.989,955.851,514.848,991.615,536.339,803.132,606.99,791.147,599.532,712.678,530.565,793.634,602.02,74.784,53.224,74.784,53.224,73.406,52.536,74.094,52.536,92699.967,70789.337,91823.206,70286.507,86988.044,66674.988,91834.707,70305.755,kg CO2-Eq.
Freshwater aquatic ecotoxicity,35.533,26.23,34.968,25.973,33.438,24.92,35.252,26.052,4724.477,3262.366,4674.478,3240.198,4266.921,2965.419,4671.477,3240.371,193.644,125.754,191.403,124.856,176.696,116.011,191.258,124.876,44.739,24.15,44.127,23.936,42.766,23.035,44.366,23.997,79.009,59.713,77.83,58.98,70.111,52.195,78.075,59.224,3.974,2.828,3.974,2.828,3.901,2.792,3.937,2.792,8808.142,6726.243,8724.834,6678.466,8265.408,6335.307,8725.927,6680.295,kg 1.4 DCB eq.
Marine aquatic ecotoxicity,49,36.171,48.22,35.815,46.11,34.364,48.612,35.925,6315.233,4360.821,6248.399,4331.19,5703.615,3963.891,6244.389,4331.421,253.175,164.415,250.246,163.241,231.017,151.677,250.056,163.267,60.718,32.776,59.887,32.485,58.041,31.262,60.212,32.567,64.485,48.737,63.523,48.138,57.222,42.6,63.723,48.337,4.588,3.265,4.588,3.265,4.503,3.223,4.546,3.223,11323.667,8647.197,11216.567,8585.775,10625.933,8144.613,11217.972,8588.126,kg 1.4 DCB eq.
Terrestrial ecotoxicity,2257.508,1666.452,2221.574,1650.089,2124.385,1583.2,2239.639,1655.138,535417.09,369718.442,529750.733,367206.263,483562.988,336065.995,529410.737,367225.826,16366.205,10628.394,16176.837,10552.499,14933.823,9804.941,16164.579,10554.164,5861.727,3164.154,5781.471,3136.135,5603.253,3018.071,5812.902,3144.051,2738.313,2069.558,2697.45,2044.131,2429.905,1808.986,2705.931,2052.612,317.894,226.248,317.894,226.248,312.039,223.323,314.964,223.323,456880.289,348891.738,452559.093,346413.496,428728.553,328613.796,452615.777,346508.361,kg 1.4 DCB eq.
Freshwater Eutrophication,0.5,0.369,0.492,0.366,0.471,0.351,0.496,0.367,37.767,26.079,37.368,25.902,34.11,23.706,37.344,25.903,0.974,0.633,0.963,0.628,0.889,0.584,0.962,0.628,0.357,0.192,0.352,0.191,0.341,0.184,0.354,0.191,0.744,0.562,0.733,0.556,0.66,0.492,0.735,0.558,0.025,0.018,0.025,0.018,0.024,0.018,0.025,0.018,85.336,65.166,84.529,64.703,80.078,61.379,84.540,64.721,kg P eq.
Marine Eutrophication,2.778,2.05,2.734,2.03,2.614,1.948,2.756,2.037,12.895,8.905,12.759,8.844,11.647,8.094,12.751,8.845,0.81,0.526,0.8,0.522,0.739,0.485,0.8,0.522,0.048,0.026,0.047,0.026,0.046,0.025,0.047,0.026,7.269,5.494,7.16,5.426,6.45,4.802,7.183,5.449,0.252,0.179,0.252,0.179,0.247,0.177,0.249,0.177,21.648,16.531,21.443,16.414,20.314,15.570,21.446,16.418,kg N eq.
Terrestrial Acidification,27.144,20.037,26.712,19.84,25.543,19.036,26.929,19.901,403.199,278.419,398.932,276.527,364.15,253.077,398.676,276.542,14.236,9.245,14.071,9.179,12.99,8.529,14.061,9.181,7.474,4.034,7.372,3.999,7.144,3.848,7.412,4.009,9.9,7.482,9.753,7.391,8.785,6.54,9.783,7.421,1.08,0.769,1.08,0.769,1.06,0.759,1.07,0.759,232.372,177.449,230.175,176.188,218.054,167.135,230.204,176.237,kg SO2 eq.
Photochemical Ozone Formation. Ecosystems,17.234,12.722,16.96,12.597,16.218,12.087,17.098,12.636,383.569,264.864,379.51,263.064,346.421,240.756,379.266,263.078,8.438,5.48,8.34,5.44,7.699,5.055,8.334,5.441,2.826,1.525,2.787,1.512,2.701,1.455,2.802,1.516,3.205,2.422,3.157,2.392,2.844,2.117,3.167,2.402,0.356,0.253,0.356,0.253,0.35,0.25,0.353,0.25,149.927,114.491,148.509,113.677,140.689,107.836,148.528,113.708,kg NOx eq.
lonizing Radiation,1.743,1.287,1.715,1.274,1.64,1.222,1.729,1.278,7296.447,5038.373,7219.228,5004.138,6589.8,4579.771,7214.595,5004.405,237.152,154.009,234.408,152.909,216.396,142.077,234.23,152.933,63.596,34.329,62.725,34.025,60.791,32.744,63.066,34.111,11.222,8.481,11.054,8.377,9.958,7.413,11.089,8.412,1.519,1.081,1.519,1.081,1.491,1.067,1.505,1.067,13849.041,10575.672,13718.056,10500.551,12995.700,9961.003,13719.774,10503.426,kBq Co-60 eq.
"Human toxicity, cancer",181.077,133.668,178.195,132.355,170.399,126.99,179.644,132.761,7198.569,4970.786,7122.386,4937.01,6501.402,4518.336,7117.815,4937.273,244.339,158.677,241.512,157.543,222.954,146.383,241.329,157.568,52.308,28.236,51.592,27.986,50.002,26.932,51.872,28.056,34.632,26.174,34.115,25.853,30.731,22.879,34.222,25.96,3.746,2.666,3.746,2.666,3.677,2.631,3.711,2.631,6929.304,5291.489,6863.766,5253.902,6502.339,4983.942,6864.626,5255.341,kg 1.4-DB eq
